date,rank,username,viewer_count
2021-01-02,52,Bawkbasoup,3098
2021-01-02,53,solarbacca,2992
2021-01-02,54,RealzBlueWater,2888
2021-01-02,55,CoconutB,2858
2021-01-02,56,itsBenAndKaren,2786
2021-01-02,57,SypherPK,2778
2021-01-02,58,RetalsRL,2693
2021-01-02,59,KYR_SP33DY,2668
2021-01-02,60,Beaulo,2608
2021-01-02,61,Atrioc,2596
2021-01-02,62,BadBoyHalo,2587
2021-01-02,63,Lacari,2518
2021-01-02,64,buckefps,2505
2021-01-02,65,WorldofWarships,2444
2021-01-02,66,Sequisha,2443
2021-01-02,67,Limealicious,2429
2021-01-02,68,syn4ack,2404
2021-01-02,69,Sliggytv,2332
2021-01-02,70,AdrianaChechik_,2330
2021-01-02,71,monkeys_forever,2317
2021-01-02,72,NickEh30,2280
2021-01-02,73,IKeepItTaco,2264
2021-01-02,74,w0n23,2255
2021-01-02,75,blau,2246
2021-01-02,76,HarryHesketh,2217
2021-01-02,77,SmiteGame,2195
2021-01-02,78,Scarra,2191
2021-01-02,79,Granny,2162
2021-01-02,80,Zemie,2159
2021-01-02,81,StaysafeTV,2151
2021-01-02,82,Jay3,2095
2021-01-02,83,SlotsMarko,2019
2021-01-02,84,CodeMiko,2012
2021-01-02,85,akaNemsko,1982
2021-01-02,86,Sommerset,1979
2021-01-02,87,Rustage_,1918
2021-01-02,88,MurderCrumpet,1879
2021-01-02,89,hpduketv,1855
2021-01-02,90,KarasMai,2026
2021-01-02,91,humzh,1768
2021-01-02,92,MeatiHS,1770
2021-01-02,93,Prestivent,1763
2021-01-02,94,Chica,1744
2021-01-02,95,DooleyNotedGaming,1728
2021-01-02,96,Linkus7,1726
2021-01-02,98,Dratnos,1631
2021-01-02,99,GEEGA,1631
2021-01-02,100,Avast,1412
2021-01-03,1,xQc,57755
2021-01-03,2,tarik,56016
2021-01-03,3,HasanAbi,30563
2021-01-03,4,NICKMERCS,29049
2021-01-03,5,TSM_ImperialHal,25786
2021-01-03,6,Philza,21431
2021-01-03,7,NiceWigg,20851
2021-01-03,8,zackrawrr,20140
2021-01-03,9,Emiru,19998
2021-01-03,10,VALORANT_Americas,19729
2021-01-03,11,playapex,18288
2021-01-03,12,Jynxzi,13810
2021-01-03,13,PENTA,13310
2021-01-03,14,MOONMOON,13116
2021-01-03,15,CDawgVA,12017
2021-01-03,16,Clix,12185
2021-01-03,17,summit1g,11875
2021-01-03,18,shroud,11280
2021-01-03,19,Foolish_Gamers,11819
2021-01-03,20,Flight23white,9402
2021-01-03,21,LVNDMARK,9139
2021-01-03,22,Grubby,7028
2021-01-03,23,Shotzzy,7023
2021-01-03,24,Agent00,5959
2021-01-03,25,Tectone,5725
2021-01-03,26,AMOURANTH,5716
2021-01-03,27,watchmeblink,5377
2021-01-03,28,koil,5152
2021-01-03,29,The_Happy_Hob,5214
2021-01-03,30,BrawlStars,5106
2021-01-03,31,Dkayed,4911
2021-01-03,32,GothamChess,4621
2021-01-03,33,vedal987,4535
2021-01-03,34,TeamfightTactics,4596
2021-01-03,35,fl0m,4114
2021-01-03,36,A_Seagull,4072
2021-01-03,37,erobb221,4024
2021-01-03,38,Cohh,4003
2021-01-03,39,alpharad,4024
2021-01-03,40,Mathil1,3862
2021-01-03,41,HisWattson,3848
2021-01-03,42,LVTHalo,3839
2021-01-03,43,HusKerrs,3832
2021-01-03,44,reneesrealm,3636
2021-01-03,45,Ray,3547
2021-01-03,46,zwebackhd,3531
2021-01-03,47,iateyourpie,3457
2021-01-03,48,RaiseYourEdge,3442
2021-01-03,49,AmazonMusic,3426
2021-01-03,50,Pieface23,2979
2021-01-03,51,setsukotft,3269
2021-01-03,52,Bawkbasoup,3098
2021-01-03,53,solarbacca,2992
2021-01-03,54,RealzBlueWater,2888
2021-01-03,55,CoconutB,2858
2021-01-03,56,itsBenAndKaren,2924
2021-01-03,57,SypherPK,2778
2021-01-03,58,RetalsRL,2693
2021-01-03,59,KYR_SP33DY,2668
2021-01-03,60,Beaulo,2608
2021-01-03,61,Atrioc,2596
2021-01-03,62,BadBoyHalo,2587
2021-01-03,63,Lacari,2518
2021-01-03,64,buckefps,2505
2021-01-03,65,WorldofWarships,2444
2021-01-03,66,Sequisha,2443
2021-01-03,67,Limealicious,2429
2021-01-03,68,syn4ack,2404
2021-01-03,69,Sliggytv,2392
2021-01-03,70,AdrianaChechik_,2330
2021-01-03,71,monkeys_forever,2317
2021-01-03,72,NickEh30,2280
2021-01-03,73,IKeepItTaco,2264
2021-01-03,74,w0n23,2255
2021-01-03,75,blau,2246
2021-01-03,76,HarryHesketh,2217
2021-01-03,77,SmiteGame,2195
2021-01-03,78,Scarra,2191
2021-01-03,79,Granny,2162
2021-01-03,80,Zemie,2159
2021-01-03,81,StaysafeTV,2151
2021-01-03,82,Jay3,2095
2021-01-03,83,SlotsMarko,2019
2021-01-03,84,CodeMiko,2012
2021-01-03,85,akaNemsko,1850
2021-01-03,86,Sommerset,2031
2021-01-03,87,Rustage_,1918
2021-01-03,88,MurderCrumpet,1847
2021-01-03,89,hpduketv,1855
2021-01-03,90,KarasMai,2026
2021-01-03,91,humzh,1768
2021-01-03,92,MeatiHS,1770
2021-01-03,93,Prestivent,1763
2021-01-03,94,Chica,1744
2021-01-03,95,DooleyNotedGaming,1763
2021-01-03,96,Linkus7,1770
2021-01-03,98,Dratnos,1631
2021-01-03,99,GEEGA,1631
2021-01-03,100,Avast,1412
2021-01-04,1,xQc,57755
2021-01-04,2,tarik,56016
2021-01-04,3,HasanAbi,30563
2021-01-04,4,NICKMERCS,29049
2021-01-04,5,TSM_ImperialHal,25786
2021-01-04,6,Philza,21431
2021-01-04,7,NiceWigg,20851
2021-01-04,8,zackrawrr,20140
2021-01-04,9,Emiru,19998
2021-01-04,10,VALORANT_Americas,19729
2021-01-04,11,playapex,18288
2021-01-04,12,Jynxzi,13810
2021-01-04,13,PENTA,13310
2021-01-04,14,MOONMOON,13116
2021-01-04,15,CDawgVA,12017
2021-01-04,16,Clix,12185
2021-01-04,17,summit1g,11875
2021-01-04,18,shroud,11280
2021-01-04,19,Foolish_Gamers,11819
2021-01-04,20,Flight23white,9402
2021-01-04,21,LVNDMARK,9139
2021-01-04,22,Grubby,7028
2021-01-04,23,Shotzzy,7023
2021-01-04,24,Agent00,5959
2021-01-04,25,Tectone,5725
2021-01-04,26,AMOURANTH,5716
2021-01-04,27,watchmeblink,5377
2021-01-04,28,koil,5152
2021-01-04,29,The_Happy_Hob,5214
2021-01-04,30,BrawlStars,5106
2021-01-04,31,Dkayed,4911
2021-01-04,32,GothamChess,4621
2021-01-04,33,vedal987,4535
2021-01-04,34,TeamfightTactics,4596
2021-01-04,35,fl0m,4114
2021-01-04,36,A_Seagull,4072
2021-01-04,37,erobb221,4024
2021-01-04,38,Cohh,4003
2021-01-04,39,alpharad,4024
2021-01-04,40,Mathil1,3862
2021-01-04,41,HisWattson,3848
2021-01-04,42,LVTHalo,3839
2021-01-04,43,HusKerrs,3832
2021-01-04,44,reneesrealm,3636
2021-01-04,45,Ray,3547
2021-01-04,46,zwebackhd,3531
2021-01-04,47,iateyourpie,3457
2021-01-04,48,RaiseYourEdge,3442
2021-01-04,49,AmazonMusic,3426
2021-01-04,50,Pieface23,2979
2021-01-04,51,setsukotft,3269
2021-01-04,52,Bawkbasoup,3098
2021-01-04,53,solarbacca,2992
2021-01-04,54,RealzBlueWater,2888
2021-01-04,55,CoconutB,2858
2021-01-04,56,itsBenAndKaren,2924
2021-01-04,57,SypherPK,2778
2021-01-04,58,RetalsRL,2693
2021-01-04,59,KYR_SP33DY,2668
2021-01-04,60,Beaulo,2608
2021-01-04,61,Atrioc,2596
2021-01-04,62,BadBoyHalo,2587
2021-01-04,63,Lacari,2518
2021-01-04,64,buckefps,2505
2021-01-04,65,WorldofWarships,2444
2021-01-04,66,Sequisha,2443
2021-01-04,67,Limealicious,2429
2021-01-04,68,syn4ack,2404
2021-01-04,69,Sliggytv,2392
2021-01-04,70,AdrianaChechik_,2330
2021-01-04,71,monkeys_forever,2317
2021-01-04,72,NickEh30,2280
2021-01-04,73,IKeepItTaco,2264
2021-01-04,74,w0n23,2255
2021-01-04,75,blau,2246
2021-01-04,76,HarryHesketh,2217
2021-01-04,77,SmiteGame,2195
2021-01-04,78,Scarra,2191
2021-01-04,79,Granny,2162
2021-01-04,80,Zemie,2159
2021-01-04,81,StaysafeTV,2151
2021-01-04,82,Jay3,2095
2021-01-04,83,SlotsMarko,2019
2021-01-04,84,CodeMiko,2012
2021-01-04,85,akaNemsko,1850
2021-01-04,86,Sommerset,2031
2021-01-04,87,Rustage_,1918
2021-01-04,88,MurderCrumpet,1847
2021-01-04,89,hpduketv,1855
2021-01-04,90,KarasMai,2026
2021-01-04,91,humzh,1768
2021-01-04,92,MeatiHS,1770
2021-01-04,93,Prestivent,1763
2021-01-04,94,Chica,1744
2021-01-04,95,DooleyNotedGaming,1763
2021-01-04,96,Linkus7,1770
2021-01-04,98,Dratnos,1631
2021-01-04,99,GEEGA,1631
2021-01-04,100,Avast,1412
2021-01-05,1,xQc,57755
2021-01-05,2,tarik,56016
2021-01-05,3,HasanAbi,30563
